Tweet,Predicted Sentiment,Predicted Reasoning,Actual Sentiment
"Thanks to @amazon pantry! Their prices are 1/7 of the price of the other suppliers! However I can't believe @EspanaAmazon would allow such corruption! #Spain #SpainLockDown #toiletpaper #Amazon #amazonpantry #Corruption #coronavirus #COVID?19 
https://t.co/kagekupLdP",Negative,"The tweet contains mixed elements. The phrase ""Thanks to @amazon pantry! Their prices are 1/7 of the price of the other suppliers!"" expresses a positive sentiment about Amazon Pantry’s low prices, which is an emotionally positive statement. However, the following sentence ""However I can't believe @EspanaAmazon would allow such corruption!"" injects a strong negative judgment about perceived corruption involving Amazon in Spain. The use of hashtags like #Corruption, #SpainLockDown, and #COVID-19 adds context relating to serious issues during the pandemic. Overall, the negative sentiment due to the accusation of corruption and disbelief regarding the supplier outweighs the positive comment about pricing, making the predominant tone negative.",2
Supermarket rationing and new opening times for Tesco Aldi Asda and more during pandemic,Neutral,"The tweet mentions ""Supermarket rationing"" and ""new opening times"" for multiple stores during the pandemic. The phrase ""rationing"" typically implies restrictions or limitations, which can carry a negative connotation, especially as it suggests scarcity or difficulty in obtaining goods. However, the tweet is stated in a factual, neutral manner without emotional or judgmental language, simply informing about changes. There's no explicit expression of frustration, approval, or other sentiment. Therefore, the tone is informational and neutral rather than positive or negative.",1
THANK YOU to make hand sanitizer in distillery amid outbreak,Positive,"The tweet contains the phrase ""THANK YOU,"" which is explicitly a positive expression of gratitude. The context is acknowledging the action of making hand sanitizer in a distillery during an outbreak, which is a helpful and commendable contribution. There are no negative or neutral indicators in the wording. The overall tone is appreciative and supportive, recognizing a beneficial act in a challenging situation.",2
Sainsbury: Give the elderly the first hour of supermarket trading during Covid-19 - Sign the Petition! https://t.co/1u7rQVhse6 via @change_es,Positive,"The tweet contains emotionally charged words such as ""elderly,"" which refers to a vulnerable group, and ""first hour of supermarket trading during Covid-19,"" which suggests a considerate action aimed at protecting this group. The call to ""Sign the Petition!"" indicates a positive effort to support a cause. The overall tone is supportive and encourages a protective measure without expressing negativity or criticism. Therefore, the sentiment is optimistic and community-oriented.",1
"Washing hands with soap and water is the best way to keep the Coronavirus at bay. If soap and water are not readily available, you can use an alcohol-based hand sanitizer that contains at least 60% alcohol.

#COVID-19 
#Coronavirus https://t.co/aKzL046Kpu",Positive,"The tweet focuses on promoting hygiene practices to prevent the spread of Coronavirus, using phrases like ""best way to keep the Coronavirus at bay"" and providing practical advice about using soap, water, or hand sanitizer. The language is informative and encourages positive action without expressing any negative emotions or judgment. The tone is constructive and supportive in nature. Therefore, the overall emotional tone is positive and encouraging health safety.",2
"@ScottWapnerCNBC @elonmusk When even Ford and GM can't deliver...
That shi is cray.. #Ventilators #ElonMusk #GM #Ford #Coronavirus #Covid #Bored #Home #Lockdown #ToiletPaper #Water #Medical #Emergency #Help #GoodNews #Positive #Love #Aid #Isolation #Wal",Negative,"The tweet contains the phrase ""That shi is cray,"" which is a colloquial expression indicating something is crazy or outrageous. The context is about Ford and GM being unable to deliver ventilators, which implies frustration or disbelief about the situation. However, the tweet also includes many hashtags with positive or neutral connotations such as #GoodNews, #Positive, #Love, #Aid, suggesting an overall mixed or slightly hopeful tone. Despite the presence of some positive hashtags, the main message centers around a problem (inability to deliver ventilators during a critical time), which evokes a negative sentiment about the circumstances. Therefore, the dominant emotional tone is one of concern or dissatisfaction.",1
"When all this shit is over and done... remember we wont forget the shit trader's!!!

 Charging over the top prices for our bread and butter 'every day' items...
Enjoy yourself while you can...
the British people's got long memories.
Fare price.. 
Fare trade.. #coronavirus",Negative,"The tweet contains emotionally charged and judgmental words such as ""shit trader's"" and phrases like ""Charging over the top prices,"" which indicate frustration and anger toward individuals or businesses exploiting a crisis (""coronavirus"") for profit. The tone is accusatory and warning (""Enjoy yourself while you can... the British people's got long memories""), suggesting resentment and a desire for eventual retribution. The overall emotional tone is negative, as it expresses dissatisfaction and condemnation.",0
"Day 4ish of quarantine. While IÂve been comfortably practicing social distancing and washing my hands excessively for decades, the quarantine seems to have taken a different toll on the boy. #family #love #quarantine #coronavirus @howiemandel #toiletpaper #idontusetwittermuch https://t.co/6ZMZLhSoW1",Neutral,"The tweet includes phrases such as ""comfortably practicing social distancing"" and ""washing my hands excessively,"" which indicate a responsible and somewhat positive attitude toward health measures. The phrase ""the quarantine seems to have taken a different toll on the boy"" suggests some challenges or negative effects for another person, but this is softened by the use of #family and #love hashtags, which imply care and support within the context. The inclusion of lighthearted hashtags like #toiletpaper and #idontusetwittermuch adds a humorous, casual tone. Overall, the tweet balances acknowledgment of difficulties with affection and a humorous perspective, leading to a generally neutral to mildly positive tone.",2
"Never fight over toilet paper again! This is standard in Asia.. Introducing what they call the ""BUM GUN"" to the USA
? A better clean.. ? Only need a small bit of TP or none at all.. https://t.co/zv9VRpUMqU #coronavirus #toiletpaper RETWEET YOU WILL THANK ME FOREVER ? https://t.co/7oCLgw8Kaj",Positive,"The tweet contains emotionally charged words and phrases such as ""Never fight over toilet paper again!"", ""A better clean"", and ""YOU WILL THANK ME FOREVER"". These expressions convey enthusiasm and a positive endorsement of the ""BUM GUN"" as a superior alternative to traditional toilet paper. The use of exclamation marks and capitalization emphasizes excitement and encouragement. Additionally, the context relates to solving a common problem experienced during the coronavirus pandemic, which adds a helpful and optimistic tone. Overall, the language and context together express a positive sentiment towards the product and its benefits.",2
"We truckers are being targeted for hijacking. We are a lifeline for supplies. Some can't get a meal due to closures. We're working longer, hours of service regulations are suspended in a crisis. We are trying to get your needed supplies out. We will not fail you. Hold the line!",Positive,"The tweet uses emotionally charged words and phrases such as ""being targeted for hijacking,"" which indicates a serious negative situation faced by truckers. However, it also contains positive, motivational, and determined phrases like ""We are a lifeline for supplies,"" ""We will not fail you,"" and ""Hold the line!"" which convey resilience, dedication, and assurance. The overall tone communicates both the hardship and the commitment to overcome challenges for the greater good. While the situation described is challenging (negative element), the predominant tone is one of encouragement and steadfastness, pointing towards a positive and resolute outlook.",0
